description,trash_lat,trash_long
Atlantic & Milk,42.35870062,-71.051439
1330 Boylston @ Jersey Street,42.3445655,-71.097831
SE Brookline & Newbury (opp Popeyes chicken),42.34818234,-71.09744473
Huntington and Dartmouth St (Library),42.34932688,-71.07701842
Boylston and Dartmouth St (Library Entrance),42.34994355,-71.07731053
2 Avenue De Lafayette and Washington St.,42.3538783,-71.0621546
Boylston and Berkeley St - SW Corner (Bank of America),42.35116785,-71.07309958
426 Boylston St (Citizens Bank),42.35120296,-71.07284531
Boylston and Arlington St (Opp Arlington Church),42.35179215,-71.0707406
Boylston & Haddash St (4 Seasons Hotel),42.35214673,-71.06911114
75 Dartmouth,42.345189,-71.07477
294 Congress (near Dorchester Ave),42.35266677,-71.05233923
Boylston and Clarendon St (Trinity Church),42.35062463,-71.07526211
200 Newbury Street,42.35023008,-71.0800102
Washington @ E.Mullins Way,42.3566,-71.05918
320 Newbury Street,42.34868,-71.08578
1114 Washington Street (Ming's Chinese Market),42.34423812,-71.06570621
552 Commonwealth (Kenmore Sq),42.34848571,-71.09710951
332 Congress St,42.350917,-71.049308
735 Tremont at bus stop,42.34023,-71.0788
West Broadway T-Station @ Dot Ave & West Broadway,42.34266498,-71.05697971
30 Kneeland,42.35078,-71.06184
539 Tremont,42.344527,-71.07079
Congress St and Atlantic Ave (NE Corner),42.35365814,-71.05346427
NW Bromfield and Washington (opp Payless Shoes),42.35647066,-71.05946609
1381 Boylston Street,42.34372831,-71.1012248
51 Clarendon/corner Chandler,42.34634,-71.07312
"Richmond and Atlantic St ""Living Room Restaurant""",42.36168211,-71.05218361
554 Tremont,42.34386,-71.07167
1232 North St,42.3630794,-71.0540662
53 Dartmouth,42.34446654,-71.07437808
123 Endicott Street,42.36467239,-71.05730732
North and Cross,42.3621972,-71.0549343
Charlestown Bridge & Commercial Street,42.36744028,-71.05869184
471 Columbus Ave,42.34326,-71.07838
396 Hanover Street (Contrada coffee shop),42.3659652,-71.0529941
276 Hanover (Cafe Pompei),42.363799,-71.0545002
Atlantic Ave and Pearl St,42.35398413,-71.05282188
100 Meridian @ London,42.37344585,-71.03900682
76 South St ( BFS Business Printing),42.3515368,-71.0571171
Columbus @ Dartmouth st.,42.34604,-71.07515
331 Hanover Street,42.364252,-71.053905
NE Washington & Summer Street (in front of Macy's),42.35543176,-71.06036137
Tremont 30th and Avery St (Loews Theatre),42.35328728,-71.06418228
200 Atlantic Avenue (Tia's & Columbus Park),42.36023006,-71.05196628
659 Tremont St,42.34198461,-71.07515395
Atlantic Ave and High St,42.35673339,-71.05064149
Clinton and North St opposite the Millennium Hotel,42.3607261,-71.0558865
"202 Essex Street ""Boston Sports Club""",42.35181349,-71.05612433
Atlantic Ave between Summer & Congress on Left,42.35324231,-71.05452488
NE corner Mass Ave. & Washington St.,42.33651515,-71.07681729
Causeway and Haverhill (front of the T Stop),42.36578318,-71.06071701
1101 Commonwealth Ave @ Packards Corner,42.3519077,-71.1254203
355 Newbury St,42.34831644,-71.08751047
Tremont & Bromfield St  (Suffolk Law School),42.35708226,-71.06130118
O St. @ East Broadway,42.33577,-71.02937
Boylston St (Prudential Entrance),42.34854316,-71.08267211
Mass Ave. @ Marlborough,42.34997374,-71.08915132
Columbus @ Clarendon,42.3471,-71.07368
178 Kneeland St (south street diner),42.3498437,-71.0577884
SW Lansdowne and Ipswich,42.34704079,-71.09467976
89 South Street  (Al's South Street Café),42.351844,-71.057489
642 Beacon Street (Boco Grande),42.34931123,-71.09542244
328 Tremont St (Entrance of Mass Pike Towers),42.34852344,-71.06565747
"NOT AT 285 Commercial Street ""Across from parking lot""",42.36494277,-71.05113072
Stuart and Tremont St (Opp Shanghai Restaurant),42.35093726,-71.06514335
Corner of Westland & Saint Stephen's at Mass Ave,42.34325304,-71.08602169
